Event,Date,Type,Description
Iran-Iraq War Ends,1988-08-20,Political/Conflict,End of the Iran-Iraq war stabilizes oil supply temporarily.
Gulf War,1990-08-02,Political/Conflict,"Iraq invades Kuwait, causing a sharp rise in oil prices due to supply disruption."
Asian Financial Crisis,1997-07-02,Economic,Financial crisis in Asia leads to reduced oil demand and price drop.
Dot-Com Bubble,2000-03-10,Economic,"Technology market crash reduces economic growth, mildly affecting oil demand."
9/11 Attacks,2001-09-11,Political/Conflict,Terrorist attacks on the US create market uncertainty and temporary oil price volatility.
Iraq War,2003-03-20,Political/Conflict,"US-led invasion of Iraq increases geopolitical risk, affecting oil prices."
Housing Market Collapse,2007-09-15,Economic,"Beginning of the global financial crisis, oil prices start fluctuating sharply."
2008 Financial Crisis,2008-09-15,Economic,Global recession causes historic drop in oil demand and prices.
Arab Spring,2010-12-17,Political/Conflict,Political uprisings in oil-producing countries increase market uncertainty.
OPEC Production Cut,2014-11-06,OPEC,OPEC announces production cuts to stabilize falling oil prices.
US Shale Oil Boom,2015-01-01,Supply/Market,Rising US shale oil production leads to oversupply and price decline.
US Sanctions on Iran,2018-11-01,Political/Economic,"Reimposed sanctions restrict Iranian exports, affecting global oil supply."
COVID-19 Pandemic,2020-03-01,Economic/Global,"Global lockdowns reduce demand dramatically, causing historic oil price drop."
Russia-Ukraine Conflict,2022-02-24,Political/Conflict,War triggers global supply concerns and major price spikes.
OPEC+ Production Adjustments,2022-04-01,OPEC/Policy,"OPEC+ changes production policy, influencing global oil price trends."
